learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.556607263,8.902328147788842E-9,10000.0,79.92,69.84932153390736,69.91309559484567,69.48328267477204,10000.0,61824.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.820082612,1.3299547431369623E-8,20000.0,79.88499999999999,69.8068422566279,69.86968244457759,69.46489563567361,20000.0,64512.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.088263863,2.0722511314836643E-8,30000.0,79.97999999999999,69.96970455194328,69.88416988416986,69.7095017147468,30000.0,106992.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
40000.0,1.370919335,3.1971780211217703E-8,40000.0,80.2175,70.32978921109395,70.25187969924811,70.0571385325614,40000.0,153840.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
50000.0,1.64752604,4.457864450444778E-8,50000.0,80.772,71.16039899913757,71.1395292987512,70.93624353819644,50000.0,176176.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
60000.0,1.936698881,5.905213406617443E-8,60000.0,81.19166666666666,71.78781457762253,71.7719745860223,71.57144296654575,60000.0,193472.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
70000.0,2.212530703,7.621285022470272E-8,70000.0,81.48142857142857,72.22268500230552,72.17284904688306,72.02874158467115,70000.0,240488.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
80000.0,2.463574157,9.282373395534025E-8,80000.0,81.74125,72.61347361573222,72.5751943224062,72.41359773371104,80000.0,255768.0,31.0,16.0,16.0,4.0,0.0,0.0,1.0
90000.0,2.712093911,1.1046603842621463E-7,90000.0,81.9511111111111,72.92723748082395,72.86062752698231,72.74679551707939,90000.0,274408.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
100000.0,2.97680946,1.326832758345848E-7,100000.0,82.043,73.06533005245744,73.00876309579282,72.86642490178302,100000.0,324424.0,41.0,21.0,21.0,5.0,0.0,0.0,1.0
110000.0,3.240700385,1.5743425530710567E-7,110000.0,82.14090909090909,73.21243006059215,73.16293493258289,73.01436852660788,110000.0,362552.0,45.0,23.0,23.0,5.0,0.0,0.0,1.0
120000.0,3.492614523,1.8333713031962512E-7,120000.0,82.22333333333334,73.33581581293535,73.29828514207036,73.13011714321703,120000.0,397464.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
130000.0,3.735157981,2.1027832614187978E-7,130000.0,82.29846153846154,73.44825293054947,73.41312937588097,73.23968229972208,130000.0,429368.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
140000.0,3.984960005,2.391652372720796E-7,140000.0,82.41642857142857,73.62420128051835,73.60899676236625,73.40830038671766,140000.0,447000.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
150000.0,4.24353333,2.7263694113003915E-7,150000.0,82.49266666666666,73.73752371267295,73.70981789786664,73.5250826679571,150000.0,500376.0,63.0,32.0,32.0,7.0,0.0,0.0,1.0
160000.0,4.494192839,3.074689891990957E-7,160000.0,82.575625,73.86234684822513,73.82081451363,73.67173481915195,160000.0,537152.0,67.0,34.0,34.0,7.0,0.0,0.0,1.0
170000.0,4.755054535,3.449431993511919E-7,170000.0,82.63823529411765,73.95577294606322,73.932665642167,73.76724260523322,170000.0,555296.0,69.0,35.0,35.0,7.0,0.0,0.0,1.0
180000.0,5.033824292,3.882837708151216E-7,180000.0,82.68666666666667,74.02929614342689,74.00422085234524,73.85373056690521,180000.0,600968.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
190000.0,5.313859447,4.3442388933760835E-7,190000.0,82.71473684210527,74.07161894584611,74.02952735669268,73.90779302290477,190000.0,636896.0,79.0,40.0,40.0,7.0,0.0,0.0,1.0
200000.0,5.609038078,4.834183406977645E-7,200000.0,82.772,74.15861124542623,74.09790714457543,74.02350670597016,200000.0,641600.0,79.0,40.0,40.0,7.0,0.0,0.0,1.0
