learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.439106695,5.287268823033406E-9,10000.0,79.47999999999999,69.24396356578771,68.73381075727562,68.81458966565349,10000.0,46544.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.696957983,9.579419801827107E-9,20000.0,79.08,68.62851492690724,68.31743147054368,68.31983039297342,20000.0,64344.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.957792526,1.7954799440873578E-8,30000.0,79.10666666666667,68.66739814950694,68.34503307913742,68.41044249571617,30000.0,124120.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
40000.0,1.207589682,2.727804603436548E-8,40000.0,80.0175,70.02932553441865,69.78871376195336,69.79442219031063,40000.0,144272.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,1.507121233,4.322342794319201E-8,50000.0,80.268,70.40670770093894,70.1771356024424,70.13289740562468,50000.0,205776.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
60000.0,1.79127033,5.974485185573291E-8,60000.0,80.67999999999999,71.02373822753127,70.80100755667506,70.77303212142604,60000.0,224752.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
70000.0,2.070323706,7.47179066533823E-8,70000.0,80.98428571428572,71.47888132651781,71.24432922877513,71.26977617577865,70000.0,207408.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
80000.0,2.308600471,8.874524426001642E-8,80000.0,81.11749999999999,71.6777091290228,71.48035569316744,71.48143253601162,80000.0,227560.0,31.0,16.0,16.0,4.0,0.0,0.0,1.0
90000.0,2.545059103,1.0285053267561727E-7,90000.0,81.26555555555555,71.90047009443799,71.70783274045237,71.72491279849747,90000.0,230584.0,31.0,16.0,16.0,4.0,0.0,0.0,1.0
100000.0,2.790955838,1.200715141271241E-7,100000.0,81.357,72.03838935152082,71.86684171608795,71.86726625218809,100000.0,270712.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
110000.0,3.056462538,1.4164135888008816E-7,110000.0,81.57818181818182,72.36902933540479,72.20568669675065,72.23158615964371,110000.0,314032.0,43.0,22.0,22.0,5.0,0.0,0.0,1.0
120000.0,3.279558989,1.6429019300864803E-7,120000.0,81.64916666666666,72.47550468657622,72.30794381358383,72.34758586048848,120000.0,392424.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
130000.0,3.533169741,1.914949509518014E-7,130000.0,81.7323076923077,72.60029220859488,72.45586768424228,72.47916932240906,130000.0,414648.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
140000.0,3.816878737,2.2050739838463564E-7,140000.0,81.83214285714286,72.75058431615588,72.61107402063188,72.624339421597,140000.0,395288.0,52.0,24.0,24.0,6.0,0.0,0.0,1.0
150000.0,4.051601691,2.4493893151415303E-7,150000.0,81.95066666666668,72.92924516990035,72.79432453072873,72.7877618300969,150000.0,402344.0,52.0,24.0,24.0,6.0,0.0,0.0,1.0
160000.0,4.308303482,2.7559435933820075E-7,160000.0,82.033125,73.05247963521714,72.92641809739972,72.92514315852924,160000.0,461616.0,60.0,28.0,28.0,6.0,0.0,0.0,1.0
170000.0,4.559054424,3.084899159095685E-7,170000.0,82.15,73.2273513319554,73.11532634600562,73.11318247062786,170000.0,507104.0,66.0,31.0,31.0,6.0,0.0,0.0,1.0
180000.0,4.806794287,3.4220663548827173E-7,180000.0,82.24333333333334,73.36681078560262,73.26250627405054,73.26899112646255,180000.0,526080.0,68.0,32.0,32.0,6.0,0.0,0.0,1.0
190000.0,5.036101332,3.760633028540367E-7,190000.0,82.27631578947368,73.41682366792608,73.34066943221761,73.30897389153972,190000.0,570728.0,74.0,35.0,35.0,7.0,0.0,0.0,1.0
200000.0,5.274552478,4.1257538320214593E-7,200000.0,82.336,73.50651310791987,73.42800409170226,73.39779067928706,200000.0,591888.0,76.0,36.0,36.0,7.0,0.0,0.0,1.0
