learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.516468979,6.151445570391499E-9,10000.0,79.75999999999999,69.65633065940241,69.50888821934318,69.25413945009873,10000.0,46040.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.784198163,1.0596386442981246E-8,20000.0,79.725,69.59887492296023,69.67997607297741,69.39391652200166,20000.0,64176.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.058320654,1.8195711190373534E-8,30000.0,79.66,69.50082339529759,69.6900456983906,69.31355292934371,30000.0,107160.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
40000.0,1.402421196,3.091902687009424E-8,40000.0,80.7,71.05407367780415,71.26800401950204,70.96871239470518,40000.0,142928.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,1.71490362,4.710178663801402E-8,50000.0,81.114,71.67537005986539,71.86736578680808,71.57007376185459,50000.0,200184.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
60000.0,2.034535469,6.555730723157732E-8,60000.0,81.49499999999999,72.24736563811072,72.33655571058401,72.11702661978904,60000.0,223192.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
70000.0,2.298871633,8.303624604582993E-8,70000.0,81.80428571428571,72.71075165061359,72.78942083787307,72.59681583476765,70000.0,255600.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
80000.0,2.548311752,1.031361554699184E-7,80000.0,81.9925,72.99107029283962,73.04367351521276,72.92614170268747,80000.0,311480.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
90000.0,2.789078844,1.230085766535459E-7,90000.0,82.08,73.1218370726617,73.14461743401881,73.07377664991569,90000.0,319048.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
100000.0,3.033157792,1.4434195266532812E-7,100000.0,82.173,73.25974257290824,73.27166139406569,73.23715302277401,100000.0,337856.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
110000.0,3.291018122,1.6952313454121349E-7,110000.0,82.28090909090909,73.41998477391014,73.43066290434712,73.3656736813337,110000.0,377480.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
