learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.455078625,5.4598077906606095E-9,10000.0,79.35,69.00843113249421,68.51174138456847,68.70737990604637,10000.0,46376.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.707514767,9.650847813008973E-9,20000.0,78.66499999999999,68.00175068743648,67.59322548796233,67.76216379570867,20000.0,64176.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.955859503,1.5780521850174087E-8,30000.0,78.79666666666667,68.19278749029782,68.00784589850626,68.01910507792861,30000.0,95408.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,1.204142933,2.4766709791341175E-8,40000.0,79.6375,69.45343157313509,69.23628946970844,69.29659227985525,40000.0,139904.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,1.407815365,3.243039455640854E-8,50000.0,80.14,70.21228834562717,70.06150506512301,70.06331022007838,50000.0,145448.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
60000.0,1.649565684,4.428866477152539E-8,60000.0,80.45333333333333,70.67999794759986,70.5770195684897,70.57554317828291,60000.0,189608.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
70000.0,1.915809922,6.160393605080744E-8,70000.0,80.80857142857143,71.21210158683805,71.13822884888069,71.0717285040591,70000.0,251392.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
80000.0,2.164764737,7.924466529099063E-8,80000.0,81.06125,71.58981930813104,71.48369125369369,71.46596858638743,80000.0,273904.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
90000.0,2.408988203,9.67411938069057E-8,90000.0,81.25222222222223,71.8758610392326,71.75074084615514,71.75168672883427,90000.0,276928.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
100000.0,2.65318941,1.1593326157785123E-7,100000.0,81.482,72.21996915557581,72.12613833069918,72.07022412596905,100000.0,303792.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
