learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.484375,1.99600860166053E-8,100000.0,73.874,36.038990357282636,39.675356161536854,17.61997855836537,100000.0,159288.0,85.0,43.0,43.0,8.0,0.0,0.0,1.0
200000.0,0.875,4.840908028806249E-8,200000.0,71.8935,28.72935406107046,35.22430025005473,11.218333438625297,200000.0,281520.0,151.0,76.0,76.0,9.0,0.0,0.0,1.0
300000.0,1.3125,1.0036937763086623E-7,300000.0,70.89966666666668,24.47724557049631,32.76625567013486,8.058723789664365,300000.0,459088.0,247.0,124.0,124.0,10.0,0.0,0.0,1.0
400000.0,1.703125,1.6284074970624512E-7,400000.0,70.43075,21.87889303744782,31.636138742623288,6.360491168623482,400000.0,618192.0,333.0,167.0,167.0,11.0,0.0,0.0,1.0
500000.0,2.109375,2.3836273208467495E-7,500000.0,70.3306,20.644822715438867,31.40942948691273,6.080366696000659,500000.0,718592.0,387.0,194.0,194.0,11.0,0.0,0.0,1.0
600000.0,2.515625,3.224110373088883E-7,600000.0,69.89866666666667,18.695036961745444,30.377663244812286,4.776767825885232,600000.0,799720.0,433.0,217.0,217.0,12.0,0.0,0.0,1.0
700000.0,2.953125,4.2769614891666504E-7,700000.0,69.72699999999999,17.63959296251927,30.01109723956165,4.341211946119661,700000.0,930232.0,505.0,253.0,253.0,12.0,0.0,0.0,1.0
800000.0,3.390625,5.487017268832359E-7,800000.0,69.64987500000001,16.936569062543207,29.8558989559319,4.082027700743502,800000.0,1069128.0,577.0,289.0,289.0,14.0,0.0,0.0,1.0
900000.0,3.796875,6.751579995681014E-7,900000.0,69.51522222222222,15.983542143971041,29.575212470770012,3.617636416649952,900000.0,1203232.0,651.0,326.0,326.0,14.0,0.0,0.0,1.0
1000000.0,4.359375,8.738125971932378E-7,1000000.0,69.4774,15.491647092443495,29.44676365754545,3.509648213247027,1000000.0,1365144.0,739.0,370.0,370.0,14.0,3569.535135135135,0.0,1.0336299374284486
