learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.546875,4.460259030262629E-8,100000.0,93.762,86.28951853143117,86.42614674906433,82.48834989613161,100000.0,315264.0,175.0,88.0,88.0,10.0,0.0,0.0,1.0
200000.0,1.03125,1.2512862061460815E-7,200000.0,90.3895,78.88257139616937,79.0630037906845,72.989418361181,200000.0,642624.0,353.0,177.0,177.0,13.0,0.0,0.0,1.0
300000.0,1.484375,2.3575502887575166E-7,300000.0,88.93466666666666,75.59491689052813,75.90599301770251,68.94726010738806,300000.0,943720.0,517.0,259.0,259.0,13.0,0.0,0.0,1.0
400000.0,2.0,3.981172469341093E-7,400000.0,87.66199999999999,72.86071216307276,73.15214257348181,65.3696907607132,400000.0,1217176.0,667.0,334.0,334.0,14.0,0.0,0.0,1.0
500000.0,2.53125,6.013491656631232E-7,500000.0,86.6772,70.69463098689333,70.97694764313505,62.57325055482204,500000.0,1478752.0,805.0,403.0,403.0,15.0,0.0,0.0,1.0
600000.0,3.0625,8.492418823556767E-7,600000.0,85.63116666666667,68.39002542400378,68.70273900495526,59.67925993134349,600000.0,1803712.0,987.0,494.0,494.0,15.0,0.0,0.0,1.0
700000.0,3.609375,1.1361016853091616E-6,700000.0,85.10714285714286,67.21982925473466,67.54368759748569,58.20252829598624,700000.0,2027608.0,1109.0,555.0,555.0,16.0,0.0,0.0,1.0
800000.0,4.1875,1.4770058462292783E-6,800000.0,84.1615,65.13022154854903,65.48932878667378,55.607563405003724,800000.0,2279360.0,1249.0,625.0,625.0,17.0,0.0,0.0,1.0
900000.0,4.78125,1.870506190850089E-6,900000.0,83.66322222222222,63.967279903181364,64.39530795197528,54.20693478511386,900000.0,2561792.0,1407.0,704.0,704.0,17.0,0.0,0.0,1.0
1000000.0,5.5625,2.437235380057245E-6,1000000.0,83.16980000000001,62.846430594833144,63.32994162928167,52.82738053528936,1000000.0,2804064.0,1523.0,762.0,762.0,17.0,3559.8530183727034,0.0,1.0337151553044155
