learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.46875,2.695208725829919E-8,100000.0,74.358,47.31291372492376,47.772776340713285,40.483706248259224,100000.0,222256.0,119.0,60.0,60.0,9.0,0.0,0.0,1.0
200000.0,0.84375,6.137376961608728E-8,200000.0,68.49849999999999,35.43271193785414,35.802280438969206,26.994519055840723,200000.0,354816.0,191.0,96.0,96.0,11.0,0.0,0.0,1.0
300000.0,1.296875,1.1734108233617411E-7,300000.0,66.119,30.425847282836227,30.93121865699026,21.672086679099316,300000.0,477440.0,257.0,129.0,129.0,12.0,0.0,0.0,1.0
400000.0,1.765625,1.9086802947438425E-7,400000.0,66.11749999999999,30.694141170306427,30.868265611132067,21.624981928581743,400000.0,606328.0,329.0,165.0,165.0,12.0,0.0,0.0,1.0
500000.0,2.21875,2.7765675137440363E-7,500000.0,64.1832,26.51491455060379,26.927455452776055,17.109160927201362,500000.0,740368.0,399.0,200.0,200.0,13.0,0.0,0.0,1.0
600000.0,2.71875,3.971920038263003E-7,600000.0,63.392333333333326,24.61784541213144,25.403639376999504,15.23681255282118,600000.0,924120.0,503.0,252.0,252.0,13.0,0.0,0.0,1.0
700000.0,3.1875,5.233774815375607E-7,700000.0,63.11371428571428,23.979732509364016,24.78918285965622,14.578922295151392,700000.0,1040568.0,565.0,283.0,283.0,14.0,0.0,0.0,1.0
800000.0,3.6875,6.75142703888317E-7,800000.0,62.11387499999999,21.634017310894997,22.700702375426545,12.259762215615485,800000.0,1173288.0,633.0,317.0,317.0,14.0,0.0,0.0,1.0
900000.0,4.140625,8.253307249914441E-7,900000.0,61.79,20.768910357904204,21.993698522623394,11.503126688797956,900000.0,1281208.0,691.0,346.0,346.0,14.0,0.0,0.0,1.0
1000000.0,4.734375,1.0430250485013758E-6,1000000.0,61.364399999999996,19.68295325217278,21.1022438594055,10.537990950896793,1000000.0,1417248.0,765.0,383.0,383.0,14.0,3580.3446475195824,0.0,1.0335279944460325
