learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.484375,1.8322057763321533E-8,100000.0,96.967,22.685316134210883,48.836032388664016,1.0117493472585917,100000.0,146216.0,79.0,40.0,40.0,8.0,0.0,0.0,1.0
200000.0,0.84375,4.2590351464847726E-8,200000.0,96.926,16.701495752138488,48.22300825332665,-0.17924067133787622,200000.0,261032.0,141.0,71.0,71.0,9.0,0.0,0.0,1.0
300000.0,1.234375,8.59081693407562E-8,300000.0,96.907,15.219445515766756,48.09822127754785,-0.4982129318748141,300000.0,428656.0,233.0,117.0,117.0,10.0,0.0,0.0,1.0
400000.0,1.625,1.4169940388657981E-7,400000.0,96.91575,13.118395200912811,47.99342382598437,-0.7102040816325926,400000.0,552088.0,299.0,150.0,150.0,11.0,0.0,0.0,1.0
500000.0,2.015625,2.0845146435830328E-7,500000.0,96.9114,11.572833046425902,47.95079204583755,-0.9148532967390275,500000.0,660552.0,363.0,182.0,182.0,11.0,0.0,0.0,1.0
600000.0,2.390625,2.8545709533823864E-7,600000.0,96.92166666666667,10.3911351749969,47.795364612775444,-1.1279018834867343,600000.0,793768.0,431.0,216.0,216.0,11.0,0.0,0.0,1.0
700000.0,2.78125,3.7877367705934577E-7,700000.0,96.91542857142858,9.411257505272461,47.72545696646897,-1.247303760667518,700000.0,923424.0,501.0,251.0,251.0,12.0,0.0,0.0,1.0
800000.0,3.203125,4.94397665736162E-7,800000.0,96.91075000000001,8.757012236842868,47.765988925053904,-1.25783586675959,800000.0,1059416.0,579.0,290.0,290.0,13.0,0.0,0.0,1.0
900000.0,3.640625,6.303730899364585E-7,900000.0,96.90355555555556,8.100064048200615,47.728551599954905,-1.3308123045596663,900000.0,1201392.0,653.0,327.0,327.0,13.0,0.0,0.0,1.0
1000000.0,4.1875,8.218298899009825E-7,1000000.0,96.9061,7.570965967913683,47.70460768736685,-1.359585899620149,1000000.0,1353272.0,739.0,370.0,370.0,13.0,3537.4486486486485,0.0,1.033934978332223
