classified instances = 1.000.000
classifications correct (percent) = 84,553
Kappa Statistic (percent) = 76,831
Kappa Temporal Statistic (percent) = 76,839
Kappa M Statistic (percent) = 76,768
model training instances = 1.000.000
model serialized size (bytes) = 3.222.104
tree size (nodes) = 426
tree size (leaves) = 196
active learning leaves = 196
tree depth = 16
active leaf byte size estimate = 0.0
inactive leaf byte size estimate = 0.0
byte size estimate overhead = 1
