learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.99373573,4.541063664356867E-9,100000.0,96.515,93.02210453360902,92.99328481241706,92.74321172746959,100000.0,17664.0,156.0,23.0,23.0,2.0,0.0,0.0,1.0
200000.0,1.669488526,7.883578692624966E-9,200000.0,96.229,92.45075607996583,92.44265859695182,92.15592465860279,200000.0,19120.0,371.0,86.0,86.0,2.0,0.0,0.0,1.0
300000.0,2.32449819,1.1802652256571585E-8,300000.0,96.29133333333333,92.57685008269253,92.57895614473904,92.28577173483467,300000.0,23128.0,573.0,161.0,161.0,2.0,0.0,0.0,1.0
400000.0,2.977219331,1.3938386276416068E-8,400000.0,96.255,92.50356739289096,92.5024649773022,92.2074949541189,400000.0,12648.0,788.0,231.0,231.0,1.0,0.0,0.0,1.0
500000.0,3.681996683,1.491127997348913E-8,500000.0,96.1894,92.37198517060686,92.37504852387374,92.06581215800915,500000.0,5336.0,978.0,271.0,271.0,0.0,0.0,0.0,1.0
600000.0,4.318974378,1.7739017776283954E-8,600000.0,96.30733333333333,92.60809642861652,92.60552216240751,92.31433655824087,600000.0,17160.0,1223.0,384.0,384.0,1.0,0.0,0.0,1.0
700000.0,5.030174647,2.562842399756114E-8,700000.0,96.27071428571429,92.53534959388803,92.53530752359792,92.24208383482667,700000.0,42880.0,1487.0,479.0,479.0,4.0,0.0,0.0,1.0
800000.0,5.688478238,3.54692477857425E-8,800000.0,96.307,92.60784899373495,92.607790544057,92.31529553754434,800000.0,57784.0,1721.0,565.0,565.0,4.0,0.0,0.0,1.0
900000.0,6.342143255,3.920981958099124E-8,900000.0,96.2851111111111,92.56420644550435,92.56280155088076,92.27023877781271,900000.0,22120.0,1925.0,633.0,633.0,2.0,0.0,0.0,1.0
1000000.0,6.980143848,4.3230467049005545E-8,1000000.0,96.2456,92.48481666772777,92.48285597012683,92.18207942027779,1000000.0,24360.0,2124.0,700.0,700.0,3.0,0.0,0.0,1.0
