learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.033995797,1.1245508809128984E-8,100000.0,86.651,72.80339404906104,72.8109660468053,69.01634017268591,100000.0,42040.0,142.0,33.0,33.0,3.0,0.0,0.0,1.0
200000.0,1.725414155,1.4365008998403534E-8,200000.0,86.0575,71.57046394141643,71.58621954574633,67.68792222389598,200000.0,17440.0,227.0,15.0,15.0,2.0,0.0,0.0,1.0
300000.0,2.380950435,1.61680654721852E-8,300000.0,86.19633333333333,71.87536702999188,71.86026283959174,68.08794291262734,300000.0,10632.0,301.0,-7.0,-7.0,1.0,0.0,0.0,1.0
400000.0,3.025470109,1.9103982904447866E-8,400000.0,86.18625,71.84561368189843,71.81528824867632,68.04684111609079,400000.0,17608.0,431.0,9.0,9.0,2.0,0.0,0.0,1.0
500000.0,3.690223517,2.221874306595367E-8,500000.0,86.2942,72.07534996633159,72.03776772198125,68.28065985336592,500000.0,18112.0,518.0,-13.0,-13.0,2.0,0.0,0.0,1.0
600000.0,4.320281205,2.4170787646780826E-8,600000.0,86.3785,72.24663669009747,72.24312777215516,68.46011060128355,600000.0,11976.0,614.0,-28.0,-28.0,1.0,0.0,0.0,1.0
700000.0,4.959612027,2.6179348666454768E-8,700000.0,86.29842857142857,72.07368812662583,72.06261451121009,68.26996876984968,700000.0,12144.0,659.0,-78.0,-78.0,1.0,0.0,0.0,1.0
800000.0,5.6068078,2.8353259907604918E-8,800000.0,86.080875,71.6356475345132,71.60072226841248,67.76478625748685,800000.0,12984.0,699.0,-142.0,-142.0,1.0,0.0,0.0,1.0
900000.0,6.254552103,2.9919051876076395E-8,900000.0,86.13199999999999,71.73908094818843,71.6882651429401,67.88079981471473,900000.0,9344.0,831.0,-124.0,-124.0,1.0,0.0,0.0,1.0
1000000.0,6.854137477,3.478836435363525E-8,1000000.0,86.18090000000001,71.84526423861328,71.78001682690345,68.00141710623203,1000000.0,31392.0,933.0,-120.0,-120.0,3.0,0.0,0.0,1.0
