learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.328710891,4.283181018580993E-9,10000.0,79.82000000000001,69.70578492506415,69.86710467373452,69.33596717824038,10000.0,50368.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.472719758,6.190945140609725E-9,20000.0,80.06,70.07767649106285,70.24102678904558,69.79931843998484,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.585006485,7.678468746712638E-9,30000.0,79.99333333333334,69.98545129514379,70.09913814576795,69.75103316197965,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.702756438,9.992605738792981E-9,40000.0,79.995,69.98796913997363,70.08821770334929,69.8799262242632,40000.0,75968.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.824289424,1.2809941331553789E-8,50000.0,80.30000000000001,70.44246978763847,70.49573161599521,70.33489940970968,50000.0,89608.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
60000.0,0.947811863,1.6437767546733632E-8,60000.0,80.60000000000001,70.89362941590434,70.9732924365976,70.78533242978692,60000.0,113528.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.06445877,2.0610834498900088E-8,70000.0,80.81857142857143,71.22303893110907,71.25393393136227,71.11914133918393,70000.0,138288.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
80000.0,1.180737149,2.5591335145216432E-8,80000.0,81.08375,71.62181421315115,71.66529358897544,71.52507291372659,80000.0,165568.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
90000.0,1.276379218,3.0004636002214E-8,90000.0,81.27888888888889,71.91708327950145,71.92675530674131,71.84936427580905,90000.0,178368.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
100000.0,1.36936641,3.4623552238889446E-8,100000.0,81.545,72.31547825751466,72.32760042584457,72.25437871156882,100000.0,192008.0,29.0,15.0,15.0,4.0,0.0,0.0,1.0
110000.0,1.473722187,4.042551305100114E-8,110000.0,81.76272727272728,72.64406809401763,72.65627129733119,72.59763143875753,110000.0,214912.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
120000.0,1.563766785,4.546311047946206E-8,120000.0,81.95,72.92404038568509,72.94055917847238,72.85510188735996,120000.0,216256.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
130000.0,1.666733765,5.1860830230180994E-8,130000.0,82.08,73.11858634303995,73.09899652420928,73.04795511077688,130000.0,240176.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
140000.0,1.759295703,5.7878323927801097E-8,140000.0,82.22071428571428,73.32897667891557,73.29119900422774,73.25101553936423,140000.0,251296.0,39.0,20.0,20.0,5.0,0.0,0.0,1.0
150000.0,1.850888609,6.44794136752954E-8,150000.0,82.25866666666667,73.38678330583025,73.36376102253051,73.32477972795526,150000.0,278584.0,43.0,22.0,22.0,5.0,0.0,0.0,1.0
160000.0,1.941616099,7.128701982507068E-8,160000.0,82.28937499999999,73.43357327613862,73.40147931215738,73.37448791671363,160000.0,290040.0,45.0,23.0,23.0,5.0,0.0,0.0,1.0
170000.0,2.032533881,7.840996659905752E-8,170000.0,82.33176470588235,73.49746024801478,73.48025322490928,73.44907448331948,170000.0,302840.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
180000.0,2.124722193,8.592970915757325E-8,180000.0,82.39944444444444,73.59894254491202,73.56612432206926,73.543166368814,180000.0,315304.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
190000.0,2.217356005,9.408720229149898E-8,190000.0,82.42263157894737,73.63412983338903,73.60526045412514,73.58772588872633,190000.0,340400.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
200000.0,2.314021528,1.0296604382464454E-7,200000.0,82.47149999999999,73.7073299136128,73.6635314622273,73.65323914023747,200000.0,355048.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
210000.0,2.405293918,1.1165175635045186E-7,210000.0,82.5147619047619,73.77243724190875,73.73349356910883,73.7263516414322,210000.0,367848.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
