learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.309646825,3.0767056818327146E-9,10000.0,79.36,69.01915732828418,69.34956934956934,68.68456986800182,10000.0,38408.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.464562372,5.128956551295188E-9,20000.0,78.7,68.05811874781259,68.25633383010432,67.91685494803436,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.576948805,6.61780101724176E-9,30000.0,78.73,68.09352081562501,68.24267157716618,67.90887145443573,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.691641977,8.477117446315371E-9,40000.0,78.83250000000001,68.24047444027462,68.434983596779,67.98986805791841,40000.0,62664.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
50000.0,0.83103529,1.2121601485978397E-8,50000.0,79.288,68.92957146073635,69.1004028047143,68.71393613485998,50000.0,101064.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,0.948749265,1.554765086752466E-8,60000.0,79.72166666666666,69.58600840600033,69.75489708660635,69.40966460501835,60000.0,112504.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.072226345,1.9593500596771222E-8,70000.0,80.17857142857143,70.27328467687424,70.40694450368981,70.0711820534944,70000.0,126656.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
80000.0,1.206428784,2.5283407930179186E-8,80000.0,80.48125,70.72825282432255,70.84251409791987,70.5115857458501,80000.0,163888.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
90000.0,1.315125733,2.9962797302955554E-8,90000.0,80.88444444444445,71.33014060414813,71.42002790883114,71.18595809536569,90000.0,166408.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.4234868,3.4986550494542135E-8,100000.0,81.16499999999999,71.74940455626772,71.85319126679317,71.65068709643432,100000.0,179208.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,1.536249984,4.054835137735845E-8,110000.0,81.38090909090909,72.07450545644035,72.16952929666269,71.94767840021915,110000.0,190656.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
120000.0,1.63274852,4.5307933571448336E-8,120000.0,81.51416666666667,72.27563813113387,72.36073212973,72.13506010626939,120000.0,190656.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
130000.0,1.736148443,5.139871824125241E-8,130000.0,81.59307692307692,72.39254511141503,72.4666029985387,72.28707757163042,130000.0,227696.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
140000.0,1.837020185,5.832073053867659E-8,140000.0,81.68071428571429,72.52356171770494,72.5929171386437,72.43058466896707,140000.0,265256.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,1.932481042,6.487143753525696E-8,150000.0,81.80066666666667,72.70325691291627,72.76310013169972,72.61556054891261,150000.0,265256.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
160000.0,2.037923661,7.238753084646329E-8,160000.0,81.88187500000001,72.82386433640735,72.86461794797391,72.77133330202415,160000.0,275536.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
170000.0,2.137247806,8.012528882830092E-8,170000.0,81.95294117647059,72.930921992122,72.9805897065558,72.86588601549508,170000.0,301136.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
180000.0,2.231199657,8.829190693953383E-8,180000.0,82.03055555555555,73.04710513063412,73.10701487449386,72.99226799819641,180000.0,336000.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
190000.0,2.323431629,9.661405959066828E-8,190000.0,82.11894736842106,73.1798449881529,73.2505039052658,73.1237491001432,190000.0,348784.0,55.0,28.0,28.0,7.0,0.0,0.0,1.0
200000.0,2.418472028,1.0574056441837505E-7,200000.0,82.2085,73.31367316644216,73.38275335866669,73.27259206958455,200000.0,371192.0,59.0,30.0,30.0,7.0,0.0,0.0,1.0
210000.0,2.51172547,1.1503669220133164E-7,210000.0,82.2752380952381,73.41330392414591,73.4789702812275,73.37824886638344,210000.0,385336.0,61.0,31.0,31.0,7.0,0.0,0.0,1.0
220000.0,2.6071172,1.251694415432773E-7,220000.0,82.36,73.54014063415254,73.59407213864337,73.4979581244793,220000.0,410600.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
230000.0,2.70414713,1.360933051018727E-7,230000.0,82.41217391304347,73.61785084483598,73.67879963041526,73.56700384223319,230000.0,435184.0,69.0,35.0,35.0,7.0,0.0,0.0,1.0
240000.0,2.80683972,1.4921085246574336E-7,240000.0,82.465,73.69697053645629,73.75965681292438,73.64743011722273,240000.0,493760.0,79.0,40.0,40.0,7.0,0.0,0.0,1.0
250000.0,2.903100552,1.6215689365457946E-7,250000.0,82.5292,73.79345264856775,73.86097728836889,73.75069864717867,250000.0,519864.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
260000.0,2.997796722,1.7525958225668922E-7,260000.0,82.5976923076923,73.89639020461927,73.96737723310606,73.85742514762471,260000.0,534848.0,85.0,43.0,43.0,7.0,0.0,0.0,1.0
270000.0,3.092752349,1.8867919538567666E-7,270000.0,82.67370370370371,74.01026501759164,74.06846930743562,73.97455368815751,270000.0,546288.0,87.0,44.0,44.0,8.0,0.0,0.0,1.0
