learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.306396675,2.0298191173933448E-9,10000.0,80.04,70.06314351961473,70.24448419797257,69.88533494266747,10000.0,25608.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,0.475215572,4.266255258628064E-9,20000.0,79.25,68.85560728205581,69.17248551478235,68.5105091433341,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.593931564,5.838950849995017E-9,30000.0,79.14999999999999,68.7172272737366,68.85735623599702,68.33392396091732,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.727661614,8.496204993820026E-9,40000.0,79.4,69.10114110451491,69.18704659337372,68.70014434399454,40000.0,76808.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.867280435,1.1732800150155607E-8,50000.0,79.956,69.92709619956202,70.01196888090965,69.6210973022128,50000.0,89608.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
60000.0,1.020323315,1.6294150137477036E-8,60000.0,80.26666666666667,70.39507679995491,70.49368255787873,70.1266589292022,60000.0,115208.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.160876549,2.135301425351244E-8,70000.0,80.58857142857143,70.87472954593109,70.9515360112876,70.67760034527407,70000.0,139128.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
80000.0,1.290825131,2.6488736964102008E-8,80000.0,80.82375,71.22808194941351,71.31075496044733,71.06672701897327,80000.0,152768.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,1.416376399,3.221122901813231E-8,90000.0,81.03555555555556,71.54433790308343,71.6322901258165,71.40799061897982,90000.0,176184.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
100000.0,1.529310725,3.744700415757589E-8,100000.0,81.25,71.86663567789341,71.92273135669363,71.74034273312333,100000.0,179208.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,1.642526944,4.269584820541657E-8,110000.0,81.41909090909091,72.12159211550012,72.15433032247518,72.01210494604808,110000.0,179208.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
120000.0,1.765789906,4.914058429746993E-8,120000.0,81.52833333333334,72.28549624466058,72.2758655193116,72.15571494969036,120000.0,202104.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0
130000.0,1.875151151,5.514456377946462E-8,130000.0,81.6876923076923,72.52656220181419,72.50150164025318,72.40108049201804,130000.0,212216.0,33.0,17.0,17.0,6.0,0.0,0.0,1.0
140000.0,1.990082374,6.299164160688925E-8,140000.0,81.78357142857143,72.67115419573955,72.65709598910702,72.5467189114709,140000.0,263920.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,2.086591572,7.087182555508076E-8,150000.0,81.884,72.82303599333915,72.80152136923232,72.71878482435974,150000.0,315624.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
160000.0,2.178468123,7.839370945930688E-8,160000.0,81.9875,72.97908244743523,72.96790290205789,72.89468239188909,160000.0,316464.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
170000.0,2.2669253,8.590934291195125E-8,170000.0,82.11941176470589,73.17742897130807,73.15795980360991,73.1042842733016,170000.0,328424.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,2.359421527,9.376814828491253E-8,180000.0,82.20333333333333,73.30470106826716,73.28228994645448,73.24770550261809,180000.0,328424.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
190000.0,2.453218302,1.0201504774799365E-7,190000.0,82.2921052631579,73.43806211982032,73.42438053411901,73.39243489470064,190000.0,339864.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
200000.0,2.545550873,1.107005621142313E-7,200000.0,82.357,73.53481620912196,73.51557046677625,73.4879107998858,200000.0,363616.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
210000.0,2.640503477,1.2054691875660172E-7,210000.0,82.39190476190477,73.58627401193255,73.5706780836115,73.53814666122788,210000.0,400840.0,63.0,32.0,32.0,6.0,0.0,0.0,1.0
220000.0,2.735213242,1.3101571680226055E-7,220000.0,82.43863636363636,73.65694551720627,73.62996635064944,73.6215042604326,220000.0,427272.0,67.0,34.0,34.0,7.0,0.0,0.0,1.0
230000.0,2.82790276,1.415036797667978E-7,230000.0,82.49956521739131,73.74833612169863,73.7390146992621,73.72101222187403,230000.0,437384.0,69.0,35.0,35.0,7.0,0.0,0.0,1.0
240000.0,2.923025653,1.5292176214789355E-7,240000.0,82.54541666666667,73.81694748198879,73.80895813534738,73.78502859860575,240000.0,463992.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
250000.0,3.017405786,1.6455090897856492E-7,250000.0,82.61359999999999,73.91910554887366,73.9162265962554,73.89445108437786,250000.0,476288.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
260000.0,3.10645343,1.7557331972729007E-7,260000.0,82.66230769230769,73.99142071257475,73.99701194644577,73.96096281705437,260000.0,478472.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
270000.0,3.199736495,1.8715242926833745E-7,270000.0,82.71333333333334,74.06830444754914,74.06841529204563,74.03538050734313,270000.0,479816.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
280000.0,3.297536183,2.004979188129079E-7,280000.0,82.76607142857144,74.14828226334589,74.15233810059458,74.1171233023665,280000.0,527472.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
290000.0,3.395550133,2.145004674565027E-7,290000.0,82.81586206896552,74.22353857269185,74.22494853678974,74.19625427827285,290000.0,552232.0,87.0,44.0,44.0,7.0,0.0,0.0,1.0
300000.0,3.490801314,2.2845684921219126E-7,300000.0,82.84866666666667,74.2730119013047,74.27480076394653,74.25021143712186,300000.0,566376.0,89.0,45.0,45.0,7.0,0.0,0.0,1.0
310000.0,3.5836086,2.4231790478955137E-7,310000.0,82.88354838709677,74.32553572278073,74.3253639913484,74.29937323814045,310000.0,577320.0,91.0,46.0,46.0,7.0,0.0,0.0,1.0
320000.0,3.678850067,2.571111817799013E-7,320000.0,82.9178125,74.37701263052654,74.38112199465716,74.34890334206155,320000.0,600400.0,95.0,48.0,48.0,7.0,0.0,0.0,1.0
330000.0,3.77253939,2.719939731261818E-7,330000.0,82.94212121212121,74.41353040387345,74.42503929996093,74.39223000636885,330000.0,614040.0,97.0,49.0,49.0,7.0,0.0,0.0,1.0
340000.0,3.868772803,2.8780111931109604E-7,340000.0,82.9735294117647,74.4602214569771,74.47215705642671,74.43687378289225,340000.0,634936.0,101.0,51.0,51.0,7.0,0.0,0.0,1.0
350000.0,3.965324502,3.040012464767116E-7,350000.0,83.00857142857143,74.51259319163118,74.52264772537411,74.49172171227589,350000.0,648576.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
360000.0,4.058616714,3.199958359256802E-7,360000.0,83.03277777777778,74.54859159445036,74.56283914062858,74.52539036434005,360000.0,662720.0,105.0,53.0,53.0,8.0,0.0,0.0,1.0
370000.0,4.156998688,3.375017759312732E-7,370000.0,83.04918918918919,74.57316167309406,74.59935605370269,74.55380508209824,370000.0,687816.0,109.0,55.0,55.0,8.0,0.0,0.0,1.0
380000.0,4.253373252,3.552217662781106E-7,380000.0,83.07447368421053,74.61104425277647,74.6362066109836,74.58699972736648,380000.0,710728.0,113.0,57.0,57.0,8.0,0.0,0.0,1.0
390000.0,4.345364847,3.7247248137356726E-7,390000.0,83.11358974358974,74.6697454596198,74.69286902790215,74.63467804678893,390000.0,724872.0,115.0,58.0,58.0,8.0,0.0,0.0,1.0
400000.0,4.443732083,3.9126548705533367E-7,400000.0,83.1365,74.70430518532496,74.7280002397794,74.6660206791132,400000.0,738496.0,117.0,59.0,59.0,8.0,0.0,0.0,1.0
410000.0,4.537121191,4.0937608145257055E-7,410000.0,83.16268292682926,74.74379416437735,74.75969184981518,74.71114888379284,410000.0,749616.0,119.0,60.0,60.0,8.0,0.0,0.0,1.0
420000.0,4.642677457,4.308345188790333E-7,420000.0,83.20214285714286,74.80283775333439,74.82506253501427,74.76301537448937,420000.0,785808.0,125.0,63.0,63.0,8.0,0.0,0.0,1.0
430000.0,4.740442397,4.5133529117173835E-7,430000.0,83.22558139534884,74.83811847194002,74.85848530477944,74.80033818484178,430000.0,810568.0,129.0,65.0,65.0,8.0,0.0,0.0,1.0
440000.0,4.843790945,4.7367746296055E-7,440000.0,83.23340909090909,74.84966382409507,74.86251098889866,74.80946527350952,440000.0,835648.0,133.0,67.0,67.0,8.0,0.0,0.0,1.0
450000.0,4.943259201,4.952155729634253E-7,450000.0,83.25933333333333,74.88854525945627,74.90480996971908,74.84892595535553,450000.0,837000.0,133.0,67.0,67.0,8.0,0.0,0.0,1.0
460000.0,5.044073359,5.17286934691173E-7,460000.0,83.26673913043479,74.89948004992722,74.92874987378549,74.85117783513576,460000.0,846272.0,135.0,68.0,68.0,8.0,0.0,0.0,1.0
470000.0,5.139847664,5.388765178923E-7,470000.0,83.29468085106383,74.94125703847877,74.96923557578887,74.89616672155417,470000.0,871360.0,139.0,70.0,70.0,9.0,0.0,0.0,1.0
480000.0,5.238768587,5.620887048237523E-7,480000.0,83.29770833333333,74.94577715091778,74.97385663760461,74.90004915358774,480000.0,907048.0,145.0,73.0,73.0,9.0,0.0,0.0,1.0
490000.0,5.338165548,5.862572515637326E-7,490000.0,83.33244897959183,74.99767731645493,75.01842930335701,74.94739231529026,490000.0,939896.0,151.0,76.0,76.0,9.0,0.0,0.0,1.0
500000.0,5.434510456,6.10032030987125E-7,500000.0,83.3506,75.02494375664494,75.04997677241461,74.97527498128713,500000.0,953872.0,153.0,77.0,77.0,9.0,0.0,0.0,1.0
510000.0,5.533235225,6.353272180377445E-7,510000.0,83.36333333333333,75.04421925249858,75.07066255325401,74.99801096767159,510000.0,990408.0,159.0,80.0,80.0,9.0,0.0,0.0,1.0
520000.0,5.627624488,6.595320765570428E-7,520000.0,83.37057692307692,75.05504546190274,75.08456604795629,75.01228103634608,520000.0,991248.0,159.0,80.0,80.0,9.0,0.0,0.0,1.0
530000.0,5.725253199,6.852184605149078E-7,530000.0,83.38358490566038,75.0745184854503,75.10086373853179,75.026655777498,530000.0,1017016.0,163.0,82.0,82.0,9.0,0.0,0.0,1.0
540000.0,5.819956191,7.101762392591086E-7,540000.0,83.39851851851851,75.09688198572128,75.12424281944486,75.04565091524516,540000.0,1018696.0,163.0,82.0,82.0,9.0,0.0,0.0,1.0
550000.0,5.912161954,7.344959419113833E-7,550000.0,83.40836363636363,75.11154926044807,75.1380628427732,75.05801320159075,550000.0,1019536.0,163.0,82.0,82.0,9.0,0.0,0.0,1.0
560000.0,6.006198638,7.595159478344707E-7,560000.0,83.43446428571428,75.15083269726847,75.17793689528213,75.09951657625399,560000.0,1028472.0,165.0,83.0,83.0,10.0,0.0,0.0,1.0
570000.0,6.10193405,7.856423667121618E-7,570000.0,83.44245614035087,75.1629595519162,75.18790864708403,75.113715170197,570000.0,1054896.0,169.0,85.0,85.0,10.0,0.0,0.0,1.0
580000.0,6.197387856,8.119748287467929E-7,580000.0,83.45379310344828,75.18018579221163,75.2059752855493,75.13492505602984,580000.0,1066352.0,171.0,86.0,86.0,10.0,0.0,0.0,1.0
590000.0,6.293454729,8.385098169901865E-7,590000.0,83.47491525423729,75.21171388377259,75.23784851855802,75.16518673615464,590000.0,1067696.0,171.0,86.0,86.0,10.0,0.0,0.0,1.0
600000.0,6.390344138,8.652720009609748E-7,600000.0,83.48366666666666,75.22509007619853,75.25117690396213,75.182255079476,600000.0,1067696.0,171.0,86.0,86.0,10.0,0.0,0.0,1.0
610000.0,6.489175194,8.93414841034812E-7,610000.0,83.49213114754099,75.23764832625898,75.26455416359616,75.19478759961079,610000.0,1100720.0,177.0,89.0,89.0,10.0,0.0,0.0,1.0
620000.0,6.586448631,9.214235633614247E-7,620000.0,83.50854838709677,75.26233982166731,75.29030215590885,75.220117250455,620000.0,1113016.0,179.0,90.0,90.0,10.0,0.0,0.0,1.0
630000.0,6.686195167,9.50495945465656E-7,630000.0,83.52396825396825,75.2855005198553,75.31610199922476,75.24652362930478,630000.0,1126640.0,181.0,91.0,91.0,10.0,0.0,0.0,1.0
640000.0,6.78549394,9.801083982878533E-7,640000.0,83.53125,75.29655073948533,75.32731107485374,75.25786748170161,640000.0,1152744.0,185.0,93.0,93.0,10.0,0.0,0.0,1.0
650000.0,6.885781484,1.0105663633485576E-6,650000.0,83.54492307692307,75.31708597298122,75.34592644669056,75.28011463437181,650000.0,1173968.0,189.0,95.0,95.0,10.0,0.0,0.0,1.0
660000.0,6.986863511,1.0422034612875434E-6,660000.0,83.55484848484849,75.33200156379026,75.35820261860815,75.29358472699296,660000.0,1209832.0,195.0,98.0,98.0,10.0,0.0,0.0,1.0
670000.0,7.093184824,1.0766289995226535E-6,670000.0,83.56029850746268,75.34004906815501,75.3661662189997,75.29882443699904,670000.0,1251592.0,201.0,101.0,101.0,10.0,0.0,0.0,1.0
680000.0,7.196336207,1.1106301744622987E-6,680000.0,83.56808823529411,75.35186651077461,75.37758758224952,75.31563215902337,680000.0,1274152.0,205.0,103.0,103.0,11.0,0.0,0.0,1.0
690000.0,7.294684765,1.1436391074219514E-6,690000.0,83.57884057971015,75.36806062307325,75.3900353382985,75.3267454368873,690000.0,1297376.0,209.0,105.0,105.0,11.0,0.0,0.0,1.0
700000.0,7.398528547,1.1799675952117314E-6,700000.0,83.58728571428571,75.38065048467149,75.40792715425992,75.34353880920855,700000.0,1352288.0,219.0,110.0,110.0,11.0,0.0,0.0,1.0
710000.0,7.496755674,1.2149467307964963E-6,710000.0,83.5905633802817,75.38554897779073,75.41346163991854,75.34838155450325,710000.0,1376512.0,223.0,112.0,112.0,11.0,0.0,0.0,1.0
720000.0,7.598483272,1.2522271857968885E-6,720000.0,83.59402777777778,75.39090564459727,75.42135532842828,75.3582887254309,720000.0,1416592.0,229.0,115.0,115.0,11.0,0.0,0.0,1.0
730000.0,7.704577654,1.2914803475412894E-6,730000.0,83.60602739726028,75.40898057376455,75.44331953068252,75.37525797378183,730000.0,1430160.0,233.0,117.0,117.0,11.0,0.0,0.0,1.0
740000.0,7.803825846,1.3285219907707475E-6,740000.0,83.60932432432432,75.41381000390977,75.45248296421623,75.38168326276777,740000.0,1442680.0,233.0,117.0,117.0,11.0,0.0,0.0,1.0
750000.0,7.909231963,1.3682020036773344E-6,750000.0,83.62066666666666,75.43079517335323,75.4706394466542,75.40197432970905,750000.0,1455152.0,235.0,118.0,118.0,11.0,0.0,0.0,1.0
760000.0,8.019833644,1.411206485036229E-6,760000.0,83.63328947368421,75.44946771541056,75.48787961793354,75.41686018360228,760000.0,1502984.0,243.0,122.0,122.0,11.0,0.0,0.0,1.0
770000.0,8.134125984,1.4564466678046168E-6,770000.0,83.64116883116883,75.4612690432495,75.49715508437485,75.427750998297,770000.0,1530064.0,247.0,124.0,124.0,11.0,0.0,0.0,1.0
780000.0,8.241750972,1.4994364051773878E-6,780000.0,83.65820512820513,75.48678527182464,75.52514957642416,75.4501997249689,780000.0,1544024.0,249.0,125.0,125.0,11.0,0.0,0.0,1.0
790000.0,8.343249109,1.540000888912262E-6,790000.0,83.66177215189875,75.49212783708656,75.53239485746566,75.45716431674923,790000.0,1544864.0,249.0,125.0,125.0,11.0,0.0,0.0,1.0
