learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.282376176,3.74079144368569E-9,10000.0,79.65,69.5023743637948,69.68568449277521,69.28301886792453,10000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.417380425,5.529266472543693E-9,20000.0,79.31,68.984676353936,68.98748407404632,68.78865590586815,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.52481472,6.952507261435191E-9,30000.0,79.28,68.93278353822967,69.02222665204822,68.76852735768476,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.648779776,9.783120382097033E-9,40000.0,79.455,69.1967311775781,69.32208451545469,69.02491425125325,40000.0,88264.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
50000.0,0.764517439,1.2824210141715078E-8,50000.0,79.974,69.96932593231165,70.08723188146023,69.84308646809023,50000.0,101568.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,0.894817254,1.7093613590829905E-8,60000.0,80.445,70.67243048988693,70.74721384227979,70.53934615577764,60000.0,126656.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
70000.0,1.026626319,2.23028648051454E-8,70000.0,80.58857142857143,70.88492042753496,70.93786760774249,70.79042971688988,70000.0,152768.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
80000.0,1.130804623,2.6442754281974504E-8,80000.0,80.84625,71.27251566588984,71.30524344569288,71.16810296165279,80000.0,153608.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,1.244680167,3.134508148908615E-8,90000.0,81.03333333333333,71.55169820557101,71.60631414361515,71.45007526342198,90000.0,166408.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.34108498,3.5781008594178906E-8,100000.0,81.20100000000001,71.8002276234504,71.86747078101851,71.68185584092791,100000.0,177864.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,1.448140211,4.1392733933571726E-8,110000.0,81.41454545454545,72.12046613732643,72.1744337979094,71.99873991590309,110000.0,202624.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
120000.0,1.549886902,4.7049635074215214E-8,120000.0,81.58666666666666,72.37808916224475,72.43306634728147,72.26733605271414,120000.0,214912.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
130000.0,1.645496348,5.2365318354113646E-8,130000.0,81.73692307692308,72.60423521229401,72.64652004101524,72.49281675780887,130000.0,214912.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
140000.0,1.745915951,5.9016053700099384E-8,140000.0,81.85928571428572,72.78833030621014,72.82551707165709,72.69844341245269,140000.0,256008.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,1.83539173,6.511309150798246E-8,150000.0,81.96933333333334,72.95285691200111,72.97021786927843,72.86363590757223,150000.0,263400.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
160000.0,1.928130453,7.175165599015645E-8,160000.0,82.079375,73.11857982887501,73.14231118687886,73.00399201596807,160000.0,276704.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
170000.0,2.025880694,7.99247560949189E-8,170000.0,82.14294117647059,73.21449156420383,73.23086690828285,73.10469474001292,170000.0,323200.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,2.117518533,8.82454546311208E-8,180000.0,82.27388888888889,73.41050695961621,73.42102194158907,73.28929964672595,180000.0,350984.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
190000.0,2.209917773,9.715849350322039E-8,190000.0,82.34368421052632,73.51503013235116,73.52980628871266,73.39144642913797,190000.0,372872.0,59.0,30.0,30.0,6.0,0.0,0.0,1.0
200000.0,2.299269231,1.0607341211864519E-7,200000.0,82.432,73.64768056970122,73.65879989204427,73.52243012486718,200000.0,385672.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
210000.0,2.395063187,1.1678754770700303E-7,210000.0,82.4852380952381,73.72655840374364,73.74304866470115,73.59981625167778,210000.0,432336.0,69.0,35.0,35.0,6.0,0.0,0.0,1.0
220000.0,2.486150121,1.2760580290603555E-7,220000.0,82.54454545454546,73.81529991229718,73.84594428931418,73.69455766003358,220000.0,459096.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
230000.0,2.576167307,1.3860253791513543E-7,230000.0,82.61739130434783,73.92459472367848,73.95253080025279,73.81502852314927,230000.0,472216.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
240000.0,2.664216935,1.493780448314796E-7,240000.0,82.68541666666667,74.02657615062456,74.07333462275157,73.92741965843068,240000.0,473056.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
250000.0,2.751600742,1.6012162153081348E-7,250000.0,82.7372,74.10398551639982,74.14370532798917,73.99695123788177,250000.0,475248.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
260000.0,2.839520948,1.709502526935935E-7,260000.0,82.80884615384615,74.2110347130635,74.24531400353789,74.10355795804146,260000.0,476088.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
270000.0,2.931389736,1.8278179732229975E-7,270000.0,82.86074074074075,74.28893272665246,74.32178231556753,74.19563496046484,270000.0,497824.0,79.0,40.0,40.0,7.0,0.0,0.0,1.0
280000.0,3.023285488,1.9499319657589E-7,280000.0,82.91607142857143,74.37195574797603,74.39911372284573,74.2908277885866,280000.0,513656.0,81.0,41.0,41.0,7.0,0.0,0.0,1.0
290000.0,3.116130809,2.0735095365944837E-7,290000.0,82.9551724137931,74.43130064267972,74.44844199077806,74.36229914627441,290000.0,514496.0,81.0,41.0,41.0,7.0,0.0,0.0,1.0
300000.0,3.210594222,2.207346309449317E-7,300000.0,82.99866666666667,74.49668278724533,74.51596624379812,74.43587918642301,300000.0,547664.0,87.0,44.0,44.0,8.0,0.0,0.0,1.0
310000.0,3.305600843,2.3511351509089686E-7,310000.0,83.02419354838709,74.53495534318554,74.54556887328168,74.47940409105458,310000.0,585024.0,93.0,47.0,47.0,8.0,0.0,0.0,1.0
320000.0,3.400894383,2.5045329101495034E-7,320000.0,83.0546875,74.58112492747362,74.59235310655046,74.52072173667888,320000.0,622240.0,99.0,50.0,50.0,8.0,0.0,0.0,1.0
330000.0,3.492909406,2.656021903562153E-7,330000.0,83.08242424242425,74.62257103384952,74.64046587264816,74.56165931542304,330000.0,636392.0,101.0,51.0,51.0,8.0,0.0,0.0,1.0
340000.0,3.584555229,2.809660876576148E-7,340000.0,83.1135294117647,74.66877281924425,74.68998382140953,74.60377842555282,340000.0,648024.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
350000.0,3.674010466,2.9602106394039267E-7,350000.0,83.12828571428571,74.69160801468625,74.71601491751267,74.63172591558373,350000.0,650544.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
360000.0,3.768711268,3.1249097073754095E-7,360000.0,83.15249999999999,74.72805986631234,74.76134992301611,74.67154991689566,360000.0,672264.0,107.0,54.0,54.0,9.0,0.0,0.0,1.0
370000.0,3.864991528,3.2988157723091965E-7,370000.0,83.16243243243242,74.74289128887615,74.77558820790432,74.68641943204028,370000.0,698200.0,111.0,56.0,56.0,9.0,0.0,0.0,1.0
380000.0,3.959043658,3.471811694232044E-7,380000.0,83.18236842105263,74.77308993047836,74.81169964960961,74.71813211592782,380000.0,711000.0,113.0,57.0,57.0,9.0,0.0,0.0,1.0
